"rep","case","path_min","path_max","n_events","true_gamma0","poisson_gamma0","hawkes_gamma0","true_gamma1","poisson_gamma1","hawkes_gamma1","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","poisson_convergence","hawkes_convergence","error"
25,"diffusion_positive_control",-2.2764252850155,2.98553259208528,436,-0.916290731874155,-0.373419410568869,-1.07282851579678,0.5,0.53934170300486,0.56680881318611,0.6,0.556447042246619,1.5,1.12489484896339,0.4,0.494665828329994,-439.643132533894,-380.62344779788,118.039369472029,0,0,FALSE
26,"diffusion_negative_control",-3.54889435629864,2.99324787757063,208,-0.916290731874155,-0.924724143374822,-0.924807070080356,0.5,0.534229539494051,0.534459778401686,0,3.31942799731403e-05,1.5,1.71356132184675,0,1.93715156556907e-05,-366.461555928808,-366.461870813665,-0.000629769714691975,0,0,FALSE
26,"diffusion_positive_control",-3.54889435629864,2.99324787757063,339,-0.916290731874155,-0.414733942208178,-0.786152310222507,0.5,0.455635621866031,0.479370080735992,0.6,0.561289692817529,1.5,1.83079744277206,0.4,0.306582082596569,-442.091003143795,-412.356875662814,59.4682549619614,0,0,FALSE
27,"diffusion_negative_control",-3.17739832793958,2.63465013898734,232,-0.916290731874155,-0.849429170329817,-0.973938487876513,0.5,0.507436163132209,0.545556561393078,0,0.0111326828849019,1.5,0.105755910074438,0,0.105267713899545,-383.246505956101,-382.9341919473,0.624628017601708,0,0,FALSE
27,"diffusion_positive_control",-3.17739832793958,2.63465013898734,338,-0.916290731874155,-0.569245476680519,-1.18688675079323,0.5,0.708020589449929,0.795630025383026,0.6,0.595984694419713,1.5,1.38037824869728,0.4,0.431754625938338,-394.256564774758,-350.660547262303,87.1920350249109,0,0,FALSE
28,"diffusion_negative_control",-3.34670134264455,4.10966922497098,192,-0.916290731874155,-1.0226042363801,-1.02293773328144,0.5,0.546284253548806,0.546449457150247,0,0.00171099072293448,1.5,24.270461136105,0,7.0496836188629e-05,-345.449960093483,-345.443894351934,0.0121314830981873,0,0,FALSE
28,"diffusion_positive_control",-3.34670134264455,4.10966922497098,334,-0.916290731874155,-0.460160620726738,-0.935104103153183,0.5,0.524082359710875,0.531624010841869,0.6,0.569148437799961,1.5,1.51228894675434,0.4,0.376349003291641,-420.528964485548,-390.551676938021,59.9545750950531,0,0,FALSE
29,"diffusion_negative_control",-2.84431533499261,3.18141300841067,188,-0.916290731874155,-1.01710746240782,-1.04317052854638,0.5,0.423819177248873,0.426033350241293,0,0.037837088023425,1.5,1.50674750533221,0,0.0251117641738405,-356.229611454834,-356.114428266613,0.23036637644168,0,0,FALSE
29,"diffusion_positive_control",-2.84431533499261,3.18141300841067,339,-0.916290731874155,-0.42760151630168,-0.867849782416471,0.5,0.423999706716557,0.516233623166219,0.6,0.535565298130372,1.5,1.59310696039017,0.4,0.336176610514091,-442.46622626365,-413.146425589666,58.6396013479688,0,0,FALSE
30,"diffusion_negative_control",-2.87637943489057,2.43818492686727,210,-0.916290731874155,-0.918086629294604,-1.0108538394744,0.5,0.494627512888151,0.508948307190595,0,0.0845713704598441,1.5,0.9957309072726,0,0.084933961416838,-368.894279777564,-367.626624587625,2.53531037987693,0,0,FALSE
30,"diffusion_positive_control",-2.87637943489057,2.43818492686727,369,-0.916290731874155,-0.314685261344827,-0.910561170476032,0.5,0.340197986255329,0.311357555028643,0.6,0.543629571066322,1.5,1.19903876374526,0.4,0.453387819896885,-461.587898929716,-422.771487994753,77.6328218699269,0,0,FALSE
31,"diffusion_negative_control",-2.23429705560171,2.59701936761738,224,-0.916290731874155,-0.949933403592579,-0.949964128309309,0.5,0.525940118478274,0.526030280623573,0,0.00175675553180757,1.5,28.3881867153602,0,6.18833301831507e-05,-376.652831228731,-376.652618843369,0.000424770722929679,0,0,FALSE
31,"diffusion_positive_control",-2.23429705560171,2.59701936761738,384,-0.916290731874155,-0.304222410497003,-0.78848954613048,0.5,0.254466639494639,0.263017854780461,0.6,0.73873124943218,1.5,1.92863291968899,0.4,0.383033620286492,-474.116072219723,-432.141367722828,83.9494089937905,0,0,FALSE
32,"diffusion_negative_control",-3.17131432046095,2.53006985773074,227,-0.916290731874155,-0.834984234876722,-0.89026722295683,0.5,0.376702448894685,0.389980427428406,0,0.408566993206027,1.5,8.14357045794537,0,0.0501704989618409,-391.567331022895,-389.140137654665,4.85438673645899,0,0,FALSE
32,"diffusion_positive_control",-3.17131432046095,2.53006985773074,403,-0.916290731874155,-0.319551662186648,-0.894111857749255,0.5,0.538248058691019,0.530509239103569,0.6,0.618359378226342,1.5,1.40460553847132,0.4,0.440237035445072,-438.123823041147,-384.342132608724,107.563380864845,0,0,FALSE
33,"diffusion_negative_control",-2.95988168658088,2.9151848638911,212,-0.916290731874155,-0.869324317214738,-0.87049812573296,0.5,0.444059159203194,0.444007998674289,0,0.00358355667317331,1.5,3.03389176818043,0,0.00118117485625486,-377.934245729876,-377.937884320452,-0.00727718115251719,0,0,FALSE
33,"diffusion_positive_control",-2.95988168658088,2.9151848638911,256,-0.916290731874155,-0.714770517662293,-1.01126484878458,0.5,0.581122769929402,0.604804358379049,0.6,0.515591117454551,1.5,2.05341131061022,0.4,0.251090034807167,-394.075102956031,-377.852921396767,32.4443631185287,0,0,FALSE
34,"diffusion_negative_control",-2.54216600605083,3.03863196989883,266,-0.916290731874155,-0.897583334682773,-0.897565489375114,0.5,0.525909521159072,0.525892007345628,0,0.000119131361628182,1.5,6.70642176815886,0,1.77637741476089e-05,-400.043586602302,-400.043931449089,-0.000689693574486228,0,0,FALSE
34,"diffusion_positive_control",-2.54216600605083,3.03863196989883,465,-0.916290731874155,-0.27278683134338,-0.864086492201498,0.5,0.432179500361034,0.456108989213489,0.6,0.931847058264943,1.5,2.129587665229,0.4,0.437571588847807,-458.227084563115,-385.096070195475,146.262028735279,0,0,FALSE
35,"diffusion_negative_control",-2.88592915460597,3.13670158697327,210,-0.916290731874155,-0.961476064160915,-0.962074269949097,0.5,0.49681401851676,0.496140592042072,0,0.0412409004281818,1.5,46.8576643420851,0,0.000880131372470937,-369.044614079816,-369.042632848821,0.00396246198897643,0,0,FALSE
35,"diffusion_positive_control",-2.88592915460597,3.13670158697327,386,-0.916290731874155,-0.332092687912295,-0.936112148003146,0.5,0.443401058399979,0.430263770553272,0.6,0.563283441099734,1.5,1.23213899815345,0.4,0.457159007176868,-452.138348791651,-409.076184736571,86.1243281101598,0,0,FALSE
36,"diffusion_negative_control",-3.38802759691155,2.62812297224888,183,-0.916290731874155,-1.00336128701279,-1.00329849449292,0.5,0.54509919683523,0.545153335909285,0,0.000437294557480688,1.5,26.8968451624415,0,1.62582100183006e-05,-338.953391584798,-338.95320847122,0.000366227155950583,0,0,FALSE
36,"diffusion_positive_control",-3.38802759691155,2.62812297224888,290,-0.916290731874155,-0.530676661275797,-1.09468524450545,0.5,0.496534511750436,0.505880514498692,0.6,0.67257066829598,1.5,1.56334405094573,0.4,0.430212829920012,-410.959438689763,-364.132443409265,93.6539905609968,0,0,FALSE
37,"diffusion_negative_control",-2.88850127448646,2.55266731434558,247,-0.916290731874155,-0.835312708383221,-0.863349292369196,0.5,0.489718012491074,0.48774679767237,0,0.24938155685651,1.5,8.75383203352846,0,0.0284882730101905,-400.108088913609,-399.356155309664,1.50386720788936,0,0,FALSE
37,"diffusion_positive_control",-2.88850127448646,2.55266731434558,373,-0.916290731874155,-0.385323006152069,-0.787323743208582,0.5,0.396905761493068,0.402241635961261,0.6,0.646338856769275,1.5,1.96052884654298,0.4,0.329675769835761,-461.279978532448,-431.240664925616,60.0786272136634,0,0,FALSE
38,"diffusion_negative_control",-2.61908501874675,3.37940555983091,266,-0.916290731874155,-0.843169463156047,-0.843434840591324,0.5,0.382990473329664,0.382994644420671,0,0.000106483724295557,1.5,0.432356388174963,0,0.00024628692256645,-416.65258967327,-416.652955833313,-0.000732320086854088,0,0,FALSE
38,"diffusion_positive_control",-2.61908501874675,3.37940555983091,459,-0.916290731874155,-0.398205133368233,-0.964224776111551,0.5,0.511982607453806,0.51075663045764,0.6,0.651540425145581,1.5,1.50378447069798,0.4,0.433267158852337,-445.110044835801,-395.154829744358,99.9104301828853,0,0,FALSE
39,"diffusion_negative_control",-3.01099455202474,2.91471788070862,251,-0.916290731874155,-0.903029047495556,-0.903021017300462,0.5,0.584751414158102,0.584743447819233,0,0.000185245511402243,1.5,11.9122105525962,0,1.55508929752647e-05,-389.399780206137,-389.400223754131,-0.000887095987764042,0,0,FALSE
39,"diffusion_positive_control",-3.01099455202474,2.91471788070862,382,-0.916290731874155,-0.413461571645503,-1.08269472582474,0.5,0.45823268905216,0.470651464371148,0.6,0.632839131853336,1.5,1.30563781874542,0.4,0.484697304847856,-452.599952671201,-398.168815130321,108.862275081761,0,0,FALSE
40,"diffusion_negative_control",-2.4847862181343,3.17441243311308,218,-0.916290731874155,-0.891013519915806,-0.891065197588826,0.5,0.495139702391417,0.495142903431886,0,0.00446917135927781,1.5,144.845757328092,0,3.08546928934525e-05,-378.516927912613,-378.516525757029,0.000804311167257765,0,0,FALSE
40,"diffusion_positive_control",-2.4847862181343,3.17441243311308,276,-0.916290731874155,-0.655453111175295,-1.12086913366152,0.5,0.496243247000254,0.51464514852095,0.6,0.485586265929239,1.5,1.318042304058,0.4,0.368414780340669,-413.995522768352,-382.864900359911,62.2612448168817,0,0,FALSE
41,"diffusion_negative_control",-2.77312700071925,3.70703403250663,261,-0.916290731874155,-0.90202354417672,-0.912028921514637,0.5,0.548178179284149,0.549112319185335,0,0.0352205243649447,1.5,3.80010145387431,0,0.00926831159442767,-387.513785010298,-387.470490759503,0.0865885015900858,0,0,FALSE
41,"diffusion_positive_control",-2.77312700071925,3.70703403250663,428,-0.916290731874155,-0.279945011708532,-0.726195627752683,0.5,0.35132327612169,0.374417552472642,0.6,0.670042834386648,1.5,1.90155892680675,0.4,0.352365012170218,-467.097178789603,-426.538156269717,81.1180450397732,0,0,FALSE
42,"diffusion_negative_control",-2.46765764045709,3.25824956141012,240,-0.916290731874155,-0.942679184743129,-0.942591591548009,0.5,0.478382375968597,0.478359062557204,0,6.68961582214657e-05,1.5,7.48876959377307,0,8.93286372131012e-06,-390.780977618918,-390.781494679028,-0.0010341202194013,0,0,FALSE
42,"diffusion_positive_control",-2.46765764045709,3.25824956141012,511,-0.916290731874155,-0.268535362455569,-0.923154114072939,0.5,0.592994180951202,0.594905933860742,0.6,0.669096365580293,1.5,1.39503708607206,0.4,0.479626220880075,-415.898761777519,-351.258451877128,129.280619800782,0,0,FALSE
43,"diffusion_negative_control",-3.06454140046373,3.05877734746501,229,-0.916290731874155,-0.961038950421578,-0.96102985510586,0.5,0.559877549376865,0.559870779016526,0,0.000486001990976444,1.5,40.1965505364272,0,1.20906392337327e-05,-368.554974400178,-368.555754853739,-0.00156090712175683,0,0,FALSE
43,"diffusion_positive_control",-3.06454140046373,3.05877734746501,392,-0.916290731874155,-0.331070019605902,-0.872376939667079,0.5,0.386752438598823,0.427661775700957,0.6,0.750807222769412,1.5,1.8451203180071,0.4,0.406915048000963,-455.175232866138,-407.449212976253,95.4520397797709,0,0,FALSE
44,"diffusion_negative_control",-2.98850935116029,3.04411979254706,218,-0.916290731874155,-0.882173972755869,-0.882175874823461,0.5,0.514098982966684,0.514092625099732,0,0.000310060510502495,1.5,17.7465047158453,0,1.74716382446652e-05,-373.168717469312,-373.169540768351,-0.00164659807740009,0,0,FALSE
44,"diffusion_positive_control",-2.98850935116029,3.04411979254706,315,-0.916290731874155,-0.5614365950311,-0.945495397402334,0.5,0.637033144884484,0.630698216547661,0.6,0.514072749073548,1.5,1.60254232651321,0.4,0.320785754340768,-403.880483159895,-379.567316762823,48.6263327941451,0,0,FALSE
45,"diffusion_negative_control",-3.46494884412768,2.55910842913781,192,-0.916290731874155,-1.00172918701478,-1.02674685645503,0.5,0.40740534120797,0.404190259001357,0,1.05734521779703,1.5,41.2936701276687,0,0.0256055035681741,-361.849429742246,-359.852899964382,3.99305955572754,0,0,FALSE
45,"diffusion_positive_control",-3.46494884412768,2.55910842913781,328,-0.916290731874155,-0.485777731331772,-0.872611385711892,0.5,0.469718028759867,0.5054623674863,0.6,0.49334934108563,1.5,1.58066948323132,0.4,0.312114168280827,-434.899039828382,-411.046957113466,47.7041654298308,0,0,FALSE
46,"diffusion_negative_control",-2.63683364000914,2.80563680231011,179,-0.916290731874155,-1.02446241610907,-1.05561401431013,0.5,0.482825146778267,0.478094120989791,0,0.195594325966406,1.5,6.2249575349476,0,0.0314209896000604,-348.350497340894,-347.811710294894,1.07757409199849,0,0,FALSE
46,"diffusion_positive_control",-2.63683364000914,2.80563680231011,344,-0.916290731874155,-0.353719558386352,-0.685435970931693,0.5,0.310925160975238,0.321405768897983,0.6,0.465228582604969,1.5,1.64993002910059,0.4,0.281968674064667,-461.22840298496,-442.334717003558,37.7873719628031,0,0,FALSE
47,"diffusion_negative_control",-2.47421510632138,2.56037699999209,230,-0.916290731874155,-0.879141650680909,-0.940472645609422,0.5,0.435070077101387,0.444605148806201,0,0.0307777886808269,1.5,0.547351589702931,0,0.0562303814583443,-391.938093362788,-391.685282856636,0.505621012303664,0,0,FALSE
47,"diffusion_positive_control",-2.47421510632138,2.56037699999209,334,-0.916290731874155,-0.545617886528043,-1.02500069245275,0.5,0.525602301154168,0.535635068606313,0.6,0.669989075458028,1.5,1.77142346218569,0.4,0.378220730254614,-433.549254425768,-391.362571674945,84.3733655016453,0,0,FALSE
48,"diffusion_negative_control",-2.18643884576436,3.32870101580647,233,-0.916290731874155,-0.976803135331737,-1.11629089923653,0.5,0.509569011422365,0.517064479268972,0,0.14161350034765,1.5,1.12565154168713,0,0.125805806773381,-381.183406612231,-378.724312901282,4.91818742189776,0,0,FALSE
48,"diffusion_positive_control",-2.18643884576436,3.32870101580647,380,-0.916290731874155,-0.499468965600824,-1.03939497791967,0.5,0.526981596778563,0.598196187712215,0.6,0.551150555412918,1.5,1.42494061172687,0.4,0.386788439375718,-432.352320697065,-386.365704650121,91.9732320938882,0,0,FALSE
49,"diffusion_negative_control",-3.22801037382214,2.56323448631534,218,-0.916290731874155,-0.908347172128414,-1.09911895089128,0.5,0.44777748418213,0.500302864789891,0,0.0110279417519637,1.5,0.0685241382980395,0,0.160935139439459,-380.324878783342,-379.765777595381,1.11820237592201,0,0,FALSE
49,"diffusion_positive_control",-3.22801037382214,2.56323448631534,354,-0.916290731874155,-0.422068155642897,-1.17353422561125,0.5,0.443720206461857,0.652677738221392,0.6,0.43179906361722,1.5,0.89587027849389,0.4,0.481988379325573,-446.50891829228,-390.39058727819,112.236662028178,0,0,FALSE
50,"diffusion_negative_control",-3.82470088500762,3.71651757977676,246,-0.916290731874155,-0.960049836641908,-0.972159538204821,0.5,0.626690355521467,0.625771182263693,0,0.155938677289369,1.5,12.2532128649385,0,0.0127263501424654,-361.264065106062,-361.039187328594,0.449755554935905,0,0,FALSE
50,"diffusion_positive_control",-3.82470088500762,3.71651757977676,396,-0.916290731874155,-0.394656464835239,-0.875290067492215,0.5,0.499771879343401,0.528109794973624,0.6,0.543962052308342,1.5,1.4669564824516,0.4,0.370809944818038,-428.796867979374,-382.975502704118,91.642730550511,0,0,FALSE
