"B","replicate","n_events","observed_LR","branching_hat","alpha_hat","beta_hat","p_empirical","p_corrected","reject","max_boot_LR","mean_boot_LR"
50,1,163,1.39546834620279,0.105493030912717,0.050355991019563,0.477339503698844,0.14,0.156862745098039,FALSE,3.69071311553853,0.517856610329864
50,2,153,0,3.39788373087514e-07,4.14342571306506e-08,0.121941362366684,1,1,FALSE,13.957382297194,1.24614543305442
50,3,138,1.48546750068579,0.0888202379513183,0.179862623414072,2.0250184818538,0.14,0.156862745098039,FALSE,7.30151782603349,0.70215546964461
50,4,109,0.0258519643731461,0.00812972050971434,0.0308983834065774,3.80066982249346,0.5,0.509803921568627,FALSE,4.96065928035546,0.626259675250329
50,5,166,0.12498016725948,0.0267789014237857,0.0351426369852938,1.31232556665223,0.4,0.411764705882353,FALSE,9.89010052671387,0.985614003601311
50,6,166,1.00855579706678,0.0805989262744163,0.131920709492254,1.63675517268185,0.34,0.352941176470588,FALSE,9.72646827206216,1.00755617291841
50,7,192,2.8197157303174,0.179543706440332,0.0206091170993998,0.114786073586204,0.06,0.0784313725490196,FALSE,15.881358421433,0.848773053683634
50,8,164,0,3.61888622849599e-08,5.09941654119293e-07,14.0911214644961,1,1,FALSE,3.77122983807016,0.551105780987507
50,9,157,3.57905149730823,0.0194360484138958,3.57193583594964,183.778912250285,0.06,0.0784313725490196,FALSE,6.34530157134253,0.820314356477036
50,10,175,0,5.24411885832949e-09,0.000186817231299147,35624.1413183106,1,1,FALSE,9.03327745161499,1.21032669391235
50,11,167,0,6.51515998174506e-08,2.58502850715624e-07,3.96771301763775,1,1,FALSE,8.75191478693938,0.830864207233484
50,12,146,1.04834089457282,0.0928394788080805,0.0746017275697689,0.803556079025249,0.28,0.294117647058824,FALSE,5.49317009586065,0.876604184000309
50,13,158,2.46171503067916,0.0622129705936966,0.389687855088729,6.2637718689519,0.18,0.196078431372549,FALSE,6.48621381113117,1.16332267238829
50,14,184,1.93855537112103,0.00741143641181798,5.79771375412152,782.265870199833,0.2,0.215686274509804,FALSE,8.57076358717467,1.19464439382705
50,15,156,0.0053644195987772,0.00503404069856398,0.0142759223705357,2.8358774243935,0.46,0.470588235294118,FALSE,16.2113559616728,0.969391167781557
50,16,146,0.0250403766810336,0.0126960252935363,0.016892127994163,1.33050522534505,0.6,0.607843137254902,FALSE,6.15763190056578,0.967086506919033
50,17,186,8.65900346980197e-07,1.20849352968142e-07,1.58256346639155e-05,130.953408315619,0.68,0.686274509803922,FALSE,7.12108093542588,1.11369930639366
50,18,127,0,1.71144552851747e-06,1.23957939930236e-05,7.24287965142626,1,1,FALSE,4.24899983634151,0.520343241778546
50,19,129,0.301965402969586,0.139537964684365,0.00234329866098612,0.0167932696043451,0.44,0.450980392156863,FALSE,4.88299818971171,0.94116140973557
50,20,167,2.48509008900567,0.0246912225382825,1.6430481147591,66.5438137869293,0.2,0.215686274509804,FALSE,5.77276440243469,1.26991312581984
50,21,189,0.00266100152458648,0.000105220835835402,0.00207144457940813,19.6866387057456,0.56,0.568627450980392,FALSE,7.8810646416718,0.857583368543547
50,22,197,0,1.59500543952785e-08,1.12625061300709e-07,7.06110828901296,1,1,FALSE,10.9731339927324,1.43819692765917
50,23,227,0.000817642237933569,0.000148623475289812,0.0027764086152996,18.6808215181732,0.5,0.509803921568627,FALSE,8.52927054469745,1.0845014942608
50,24,189,0.175340381508647,0.0236554161697276,0.0764541434285165,3.23199316722893,0.46,0.470588235294118,FALSE,10.6941798833229,0.976064397835752
50,25,142,0.885973067337886,0.0109068751267755,0.578012239626613,52.9952193371717,0.36,0.372549019607843,FALSE,11.4054579661705,1.21303688973627
50,26,176,0.274750786480411,0.0318224215836328,0.0773435087896649,2.43047213067672,0.36,0.372549019607843,FALSE,7.88511210806178,0.74101289040463
50,27,137,1.3947683060062,0.0506478099163918,0.343244349198504,6.77708176849351,0.14,0.156862745098039,FALSE,2.93303846250228,0.43613394812359
50,28,120,0,2.35398311442093e-08,4.1482923268323e-05,1762.2438756757,1,1,FALSE,6.57875356026102,0.622657142823057
50,29,214,2.52971656018593,0.0625258264341851,0.402604956073791,6.43901854696114,0.18,0.196078431372549,FALSE,4.84264773132338,0.985866552798246
50,30,150,0.54631251740858,0.0551802194245334,0.101287485243044,1.83557597811964,0.34,0.352941176470588,FALSE,7.9882239758594,0.844092546027014
50,31,154,1.59127738212538,0.0550741825445896,0.223844706526128,4.06442177048923,0.24,0.254901960784314,FALSE,6.39764616778712,1.17433511388144
50,32,193,0.977832107816425,0.103590142197014,0.0334625164385573,0.323027999854622,0.38,0.392156862745098,FALSE,10.2833068443652,1.40859710694263
50,33,165,0,7.40423365734817e-09,3.58486887196488e-05,4841.64741128497,1,1,FALSE,12.1228810971935,1.0285721717246
50,34,163,0,2.81084044785614e-08,2.96435577312592e-05,1054.61545331997,1,1,FALSE,5.35882316988437,0.709096308720963
50,35,188,1.91272210849343,0.0212762518184813,1.89646939473448,89.1355023861457,0.16,0.176470588235294,FALSE,5.04725912618522,0.705458920441505
50,36,147,0.169405591678412,0.0434621128868805,0.0193823816177107,0.445960408509303,0.54,0.549019607843137,FALSE,8.73632191225815,0.930961440713682
50,37,157,0,3.63199000584682e-09,2.24192629562663e-06,617.272154388519,1,1,FALSE,3.87186515334258,0.496681515017447
50,38,169,0,2.66134457205481e-07,1.60596438087781e-06,6.03440981577914,1,1,FALSE,6.94450135661083,0.755279212857946
50,39,164,3.87746770366772,0.174633712728211,0.0596258310097913,0.341433678974626,0.04,0.0588235294117647,FALSE,9.46623861424177,0.762474791993596
50,40,181,2.00197006954608,0.100811623308162,0.206160101313664,2.04500328978407,0.24,0.254901960784314,FALSE,8.51415214785646,1.3066833777051
50,41,175,0,3.93143861182147e-07,2.45569932665899e-05,62.4631227682133,1,1,FALSE,8.20881144113383,1.10389485665149
50,42,166,0,2.72063325173073e-09,2.18593010329285e-06,803.463716361725,1,1,FALSE,10.2195716236903,0.97344945475496
50,43,140,5.38251169471511,0.21055009248513,0.0971342833603037,0.461335743023545,0.02,0.0392156862745098,TRUE,9.05233442994677,1.22666142909867
50,44,150,0.0023596229435725,3.47303719631561e-05,0.00120093914318781,34.578931215071,0.62,0.627450980392157,FALSE,9.05136023171184,1.35359213512345
50,45,146,1.21146588681904,0.120670946160805,0.0285807341758474,0.236848513127268,0.26,0.274509803921569,FALSE,5.74121268783938,0.825360220572048
50,46,161,0,8.39648658848611e-07,1.63637529658087e-05,19.4888097460287,1,1,FALSE,6.70891134082325,1.00796218342471
50,47,144,0.200564922199021,0.0309320440331278,0.0655709195964856,2.1198379106877,0.52,0.529411764705882,FALSE,10.8312020058671,1.13651570861052
50,48,165,0.155483065797341,0.0421906051413715,0.0253973352613751,0.601966603140064,0.5,0.509803921568627,FALSE,7.93676183507353,1.2892632694147
50,49,153,0.00305622299936203,0.00203650146820137,0.00857941820444716,4.21282200794309,0.5,0.509803921568627,FALSE,5.11382360749121,0.968068086377221
50,50,151,0,1.33255772189396e-07,2.37934227172329e-06,17.8554537085383,1,1,FALSE,4.5176805708536,0.915289765060652
100,1,165,2.78381988615291,0.187175272178799,0.0449589843039227,0.240197242833315,0.12,0.128712871287129,FALSE,7.97969370275041,0.853109539559648
100,2,214,4.06901754088005,0.182354989249325,0.0549039709218266,0.301082910579206,0.07,0.0792079207920792,FALSE,7.62601441495701,1.05481189144761
100,3,144,2.77567389650346,0.153382011898938,0.111528449421094,0.7271286120212,0.12,0.128712871287129,FALSE,7.05952587509665,1.01507333853052
100,4,291,0,2.42259748622625e-09,6.36979480228694e-06,2629.32444968782,1,1,FALSE,6.00808043776377,0.973963342066617
100,5,192,0.994774468225103,0.0315876214946397,0.356801973624898,11.2956264746127,0.23,0.237623762376238,FALSE,7.22408718815313,0.765575733507361
100,6,164,2.57466983585368,0.0942650840585151,0.270626817247417,2.87091259664528,0.16,0.168316831683168,FALSE,11.8078428336485,1.16797098423418
100,7,104,1.37616742543611,0.0993414178168156,0.055027942306724,0.553927490829604,0.22,0.227722772277228,FALSE,8.40470395537557,0.897020834992436
100,8,169,1.13353288268314,0.0154380313616254,1.61120877974115,104.366207193111,0.25,0.257425742574257,FALSE,7.99806430963469,0.869838316829906
100,9,175,0,8.61600524967538e-09,5.55251074531983e-06,644.44143015454,1,1,FALSE,8.71445230087204,1.16390819093949
100,10,240,0.0153695901007893,0.00966814971866168,0.0155682745514036,1.61026411510295,0.61,0.613861386138614,FALSE,15.478204424911,1.29880721516281
100,11,207,0,3.71042823912062e-08,2.52243627392311e-05,679.823489733069,1,1,FALSE,6.23290997072172,1.01569647994284
100,12,199,0,5.80786891384944e-08,3.45288178677742e-05,594.517858098292,1,1,FALSE,7.19515343448592,1.01325451425982
100,13,221,0.755736232416211,0.0107588276004303,0.941257393891659,87.486985464291,0.36,0.366336633663366,FALSE,6.5169366933093,1.04844685162169
100,14,137,4.38005700522768,0.17310668733919,0.151094748024311,0.872841773745296,0.06,0.0693069306930693,FALSE,8.14540796538722,0.841204954678008
100,15,142,1.01553151349106,0.0909215599105305,0.0996573077447432,1.09608004793152,0.31,0.316831683168317,FALSE,13.7943644695489,1.13484196421967
100,16,145,1.40422230288095e-07,1.98114836106093e-09,7.54058168326797e-07,380.616708545234,0.68,0.683168316831683,FALSE,9.40709688347349,1.20096548619478
100,17,144,0.797342464680014,0.040221731713961,0.210868057862544,5.24263995797455,0.32,0.326732673267327,FALSE,7.68663048021682,0.915088134250605
100,18,207,1.12822119488308,0.00839175748276309,1.22422480708375,145.884197630632,0.28,0.287128712871287,FALSE,7.9983772942557,1.05989808140895
100,19,202,2.92053228526237,0.0573419045193753,0.581989763880784,10.1494669345022,0.14,0.148514851485149,FALSE,10.7062253461401,1.00239446243886
100,20,154,1.24676688405299,0.0935571337493212,0.111260020059022,1.18922005837774,0.26,0.267326732673267,FALSE,7.47814785805207,0.898993191358791
100,21,165,0,5.99213630841676e-09,1.00804036617122e-06,168.227208842912,1,1,FALSE,6.74873759305677,0.776019130471003
100,22,129,0.840980757422756,0.0654405622857827,0.149611969077164,2.28622682708318,0.25,0.257425742574257,FALSE,4.54167200667808,0.646509798287598
100,23,144,0,5.48271161504893e-08,6.22858530836805e-07,11.3604102234227,1,1,FALSE,6.60044424150198,0.747224399655756
100,24,142,0.105588679610378,0.00879625155003926,0.0607267133158379,6.90370357991488,0.5,0.504950495049505,FALSE,6.50699419221297,0.68148231505739
100,25,194,0,8.25907257992592e-10,1.79830746026199e-06,2177.37214785212,1,1,FALSE,9.53494420808124,1.24189235263634
100,26,215,0.00021446395754765,1.75149763266516e-05,0.000252941030642894,14.4414143602357,0.52,0.524752475247525,FALSE,8.62401560888333,0.915653566606381
100,27,166,2.30189326089203e-05,1.41203883725033e-07,0.000127492526042636,902.896738243428,0.77,0.772277227722772,FALSE,7.42795682750722,1.15501553894675
100,28,166,0,8.12903562180312e-09,2.63025874239839e-07,32.3563441565406,1,1,FALSE,6.06230414193271,0.774882204371425
100,29,201,0.556459982385377,0.0880422605278642,0.00963469528294737,0.109432620484547,0.44,0.445544554455446,FALSE,9.57745774313921,1.05147910360507
100,30,157,0.00124816357975988,4.99745285737223e-05,0.00120162858466737,24.0448208109603,0.46,0.465346534653465,FALSE,5.18557241618271,0.876461704102909
100,31,153,0.222060853173616,0.0358376533738834,0.0558306357087793,1.55787643589035,0.51,0.514851485148515,FALSE,15.0853340905888,1.01553495545258
100,32,166,0.386965242202962,0.0593832536196878,0.0453305654099045,0.763356041422353,0.23,0.237623762376238,FALSE,12.8923001673554,0.661537569333032
100,33,170,0.0720429461770777,0.01135559856515,0.0630597846127043,5.55318896233556,0.52,0.524752475247525,FALSE,8.49167836939392,1.00802934370194
100,34,179,0,2.70698370073045e-09,2.26491705784134e-06,836.694013794829,1,1,FALSE,5.28003158447814,1.09284303703668
100,35,228,0.0135618741025496,0.000343913885559787,0.00720818938686737,20.9592857093706,0.55,0.554455445544555,FALSE,8.4850790185763,0.829415557810574
100,36,201,1.94459585145523e-06,4.65939446200211e-06,0.00078037476139826,167.484158673902,0.75,0.752475247524752,FALSE,12.5086331214329,1.28649496553661
100,37,147,5.26100691244449,0.244785144674205,0.0305274707506777,0.124711288306764,0.05,0.0594059405940594,FALSE,10.2252305891634,1.08500232960781
100,38,174,0.0279038491922847,0.0109107003992187,0.0339054148527565,3.10753788594399,0.53,0.534653465346535,FALSE,7.15126733252333,1.06663284023392
100,39,123,0,4.66211615130997e-09,4.63220183374203e-06,993.58353232801,1,1,FALSE,9.93646491265037,0.87594818753242
100,40,168,0,1.50786316638087e-08,5.45236944224747e-06,361.595771009785,1,1,FALSE,9.78549817779026,0.884645697727788
100,41,238,1.40187301483979,0.106116043622475,0.0322677524395412,0.304079867077773,0.28,0.287128712871287,FALSE,8.52607372383136,1.02035692762245
100,42,211,2.4229275279794,0.081083185871934,0.361181244379487,4.45445304714532,0.14,0.148514851485149,FALSE,8.87145597308253,0.998373191834711
100,43,176,1.4700905639944,0.0630319981842846,0.241453667335965,3.83065227648399,0.3,0.306930693069307,FALSE,15.7612690332488,1.29736319549843
100,44,214,0.522668787736706,0.0397182932903543,0.0964912358286446,2.42939028430201,0.48,0.485148514851485,FALSE,8.37552337160704,1.11700876546714
100,45,192,2.80590670778327,0.0223543009333697,1.62136442821842,72.5303123122093,0.17,0.178217821782178,FALSE,7.98659001451244,1.24925256029866
100,46,194,7.80862735625229,0.15934441816084,0.558170288248815,3.50291710680074,0,0.0099009900990099,TRUE,7.3519711299586,1.09637801821026
100,47,125,0,7.51794848525865e-08,1.08394603193538e-06,14.4181093294375,1,1,FALSE,5.55066039660983,0.78396690044253
100,48,178,7.86260534937355e-05,2.6582046765909e-06,8.07844140368135e-05,30.3905920970758,0.73,0.732673267326733,FALSE,7.63518131777195,1.14890690347935
100,49,170,0,6.03208311085426e-09,2.98564038817732e-06,494.960088133549,1,1,FALSE,12.5265571935677,1.03002201743001
100,50,134,0.426011118637916,0.0741577791960428,0.0556064575053847,0.7498398429433,0.36,0.366336633663366,FALSE,6.64565605584437,0.928273090043114
200,1,170,3.12687857729969,0.0240480120307909,2.95426700711494,122.848699648533,0.125,0.129353233830846,FALSE,9.9471805690435,1.12407860858308
200,2,172,3.70408607511183,0.0861441653220224,0.518138513564932,6.01478360871032,0.09,0.0945273631840796,FALSE,6.18638035233033,0.972370494259443
200,3,166,0.400272429534994,0.0619912475270035,0.0474316863679086,0.765135212793504,0.36,0.36318407960199,FALSE,6.6001727948476,0.71667674735367
200,4,131,0.15691723586616,0.0129201363560156,0.078761116704558,6.09599732806897,0.49,0.492537313432836,FALSE,9.12205751636958,1.03114592643697
200,5,126,4.58518124199543,0.144883043468801,0.312081391889543,2.15402288920543,0.035,0.0398009950248756,TRUE,9.26244951096743,0.749229827651649
200,6,163,0.0897510533112609,0.0218005333348382,0.0377107196170435,1.72980720415588,0.5,0.502487562189055,FALSE,10.9957739802582,1.07406476425981
200,7,218,0.000167925934078994,1.15962968991429e-06,0.000543983489656639,469.101036639416,0.64,0.641791044776119,FALSE,8.78591137856597,0.980772674939792
200,8,135,0,5.74537455452245e-07,7.10220080636229e-07,1.23615975581119,1,1,FALSE,10.5857532599401,0.761735019158376
200,9,138,4.64553810628331,0.23882780390109,0.0585374609510709,0.245103208231627,0.045,0.0497512437810945,TRUE,13.0283877074102,0.86069776686576
200,10,127,0.34853058978149,0.036223737074579,0.121261312839439,3.34756495691709,0.42,0.422885572139304,FALSE,8.47346508275211,0.940542835533317
200,11,167,0,3.15243386027108e-06,1.27766465340359e-05,4.05294673904345,1,1,FALSE,17.0074520846919,1.06549483402366
200,12,160,3.50676242019637,0.176925008912125,0.119413669117591,0.67493945515018,0.115,0.119402985074627,FALSE,10.0122300362897,1.37997773525666
200,13,145,0.000314774333617152,5.40945184209136e-05,0.00251259063026404,46.448155998236,0.595,0.597014925373134,FALSE,10.1788860175845,0.833620289537434
200,14,152,5.50532687384475e-05,1.49716399433952e-06,0.000163586882465046,109.26450481279,0.66,0.661691542288557,FALSE,9.67162041613267,1.01056404041038
200,15,140,0.599079195483853,0.0461996524582187,0.135258840209715,2.9277025478068,0.345,0.348258706467662,FALSE,7.55834866300523,0.83546846707871
200,16,182,0,1.88496948945908e-08,5.32219570265841e-08,2.82349169703839,1,1,FALSE,16.051678496515,1.00941545521257
200,17,151,0.603674456263718,0.0657648701058989,0.0872195767559669,1.32623354407179,0.34,0.343283582089552,FALSE,9.79803085632506,0.908302419020932
200,18,149,4.92470795074718,0.157955039305226,0.260276981010758,1.64779156243195,0.035,0.0398009950248756,TRUE,8.26704616334155,0.790869785555992
200,19,143,1.60168043863877,0.0757470987987381,0.237552748094115,3.13612998862569,0.22,0.223880597014925,FALSE,8.97174447552925,0.969191925643675
200,20,153,1.09457768010611,0.0383686803296285,0.387599795318487,10.1019840137473,0.225,0.228855721393035,FALSE,8.48558450264824,0.895380738479685
200,21,153,0.00745651927365998,0.00515881198076664,0.0106749515174834,2.06926547377232,0.53,0.532338308457711,FALSE,9.37657637627564,0.927432774630402
200,22,165,7.72399899850132,0.101263352189246,0.783839709613692,7.74060598101489,0.005,0.0099502487562189,TRUE,10.8818366132049,1.04211195008912
200,23,134,0,1.61755296776175e-07,4.37946475031603e-07,2.70746296263548,1,1,FALSE,6.34901821941338,0.802118127084862
200,24,155,1.36801524295231,0.157324690121803,0.0427782345867343,0.27191049639834,0.215,0.218905472636816,FALSE,8.53944878786189,0.771702358156704
200,25,175,3.89643129850606,0.0698207805637234,0.587225182345653,8.41046430023379,0.09,0.0945273631840796,FALSE,15.8214648005105,1.13425946715329
200,26,175,1.40147438407342,0.116262028582925,0.0303455474992111,0.26100996059575,0.21,0.213930348258706,FALSE,15.3440649972209,0.937008115075188
200,27,210,0.0914402472612892,0.0114874182485274,0.0843044488559522,7.33885082200777,0.545,0.54726368159204,FALSE,9.01179109026054,1.08014889343452
200,28,195,0.13151826211444,0.0128745192488918,0.13208255829731,10.259222557664,0.475,0.477611940298507,FALSE,7.93590329092277,0.86296644867669
200,29,215,0.841577237875356,0.0935523612483122,0.0514910710334519,0.55039841161017,0.31,0.313432835820896,FALSE,7.20126249691134,0.940329127085568
200,30,185,1.81934413333465,0.0339617680334495,0.600346496734285,17.6771272962878,0.235,0.238805970149254,FALSE,11.824394831585,1.1751573370793
200,31,184,0,1.95790743686992e-09,5.21401248315991e-06,2663.05361784389,1,1,FALSE,11.0076005320505,1.01901187870636
200,32,193,2.40513401479348e-05,9.8568226781786e-07,0.000173121397004328,175.636107756702,0.7,0.701492537313433,FALSE,8.49643850669818,1.03479297355304
200,33,174,0,4.3810885640997e-08,2.57555951616849e-07,5.8788118032436,1,1,FALSE,9.34059536398246,1.01857995205803
200,34,199,0.534641050748064,0.0368928675950012,0.155322715892674,4.21010146453672,0.375,0.378109452736318,FALSE,7.10353073150054,0.87697988266033
200,35,182,0,7.17114130007393e-09,5.46489041479896e-05,7620.67038721245,1,1,FALSE,18.4291259778526,0.942659875814634
200,36,160,0,7.59403290255634e-06,0.000817360760275078,107.631975099809,1,1,FALSE,8.0961632828876,0.900275849851649
200,37,178,6.33278843868959,0.0251723055031028,6.85125594335102,272.174352186633,0.01,0.0149253731343284,TRUE,7.43477756814946,0.993412075086028
200,38,225,0.0422346259111919,0.0100520956714268,0.0350529440709441,3.48712797974878,0.46,0.462686567164179,FALSE,7.0449327133145,0.744782153458443
200,39,209,0,1.63366936663912e-06,4.55347450789423e-05,27.8726809774361,1,1,FALSE,9.3909047487694,0.773431840759513
200,40,170,0.31984928425851,0.0209107281165538,0.0984780154927517,4.70944937659977,0.41,0.412935323383085,FALSE,14.745770757654,1.06267194902752
200,41,186,2.15963952672024,0.126984367309703,0.170376332701463,1.34171108075006,0.165,0.169154228855721,FALSE,9.56315700344885,0.963188616951514
200,42,137,0.898459540942213,0.051305255063464,0.166462388214128,3.24454849719032,0.305,0.308457711442786,FALSE,8.18400358727848,0.875732453930863
200,43,127,2.59092416970145,0.0069837345327261,12.8860905058012,1845.15755079412,0.1,0.104477611940299,FALSE,12.693890207629,0.962570584570907
200,44,165,0,2.25234004917212e-08,8.90936857073712e-05,3955.60544865856,1,1,FALSE,13.3756887316488,1.17592693407056
200,45,139,0.548554602114336,0.0754307538435148,0.0552440704014756,0.732381258128249,0.39,0.393034825870647,FALSE,8.35661110819558,0.973463174452238
200,46,149,1.48243936689897,0.0343925044257939,0.60339760471081,17.5444508850094,0.195,0.199004975124378,FALSE,9.60022001084883,0.905513003353951
200,47,145,1.07688969109915,0.109718270882444,0.0474537373362336,0.432505333474287,0.19,0.194029850746269,FALSE,6.739131857708,0.70122233938748
200,48,150,8.64646023615023e-05,1.8237817991484e-06,8.83268811903371e-05,48.4306188556002,0.625,0.626865671641791,FALSE,7.36193402771141,0.840399794806242
200,49,166,0.110555301920954,0.0293843286984267,0.0178043859568064,0.605914334117823,0.455,0.45771144278607,FALSE,9.6592811025892,0.916056797171355
200,50,132,5.83431687675596,0.0877740567719603,0.85993697373608,9.79716564736461,0.005,0.0099502487562189,TRUE,6.66324059625316,0.695006510031364
