"branching_true","alpha_true","beta_true","replicate","n_events","observed_LR","branching_hat","alpha_hat","beta_hat","p_empirical","p_corrected","reject","max_boot_LR","mean_boot_LR"
0,0,1.2,1,216,0.508294081664587,0.0105772066766355,0.339396490137544,32.0875350660636,0.42,0.431372549019608,FALSE,8.47305144981249,1.28638190526928
0,0,1.2,2,149,1.94370789709393,0.0958930944094709,0.150261388221435,1.5669677691264,0.1,0.117647058823529,FALSE,3.21116265136067,0.541219967333285
0,0,1.2,3,263,5.86567363143331e-05,3.30250431573446e-06,0.00016438989270078,49.7773437925759,0.78,0.784313725490196,FALSE,10.5763679025235,1.1918090105992
0,0,1.2,4,159,0,2.61055644365035e-08,1.39461801567889e-07,5.3422250994458,1,1,FALSE,6.69570736647472,0.913852445161767
0,0,1.2,5,187,1.24358708295679,0.0258446733060238,0.627290862452514,24.271572521921,0.14,0.156862745098039,FALSE,2.45024384130232,0.354897331797925
0,0,1.2,6,172,0,6.89816597943723e-08,3.77327076057082e-05,546.996226506955,1,1,FALSE,6.00912703394295,0.828944983257275
0,0,1.2,7,152,0,4.74999695501508e-09,5.95584752870958e-06,1253.86344141155,1,1,FALSE,9.32135930992376,0.890405055305005
0,0,1.2,8,117,2.45310904696251,0.0511435668980954,0.763162084325263,14.9219565746339,0.18,0.196078431372549,FALSE,6.36700595253035,0.946314992566559
0,0,1.2,9,140,0,1.46256169374172e-07,1.77220503401918e-07,1.21171301122026,1,1,FALSE,11.9764052924101,1.07994112573392
0,0,1.2,10,184,4.73969507884721,0.204398717502748,0.0776294297129407,0.379794113492404,0.02,0.0392156862745098,TRUE,5.39171573136525,0.86318602336203
0,0,1.2,11,150,8.17939823605229e-05,2.98400722133016e-06,9.65783299905093e-05,32.365313763369,0.56,0.568627450980392,FALSE,5.9573883369757,0.963287634598815
0,0,1.2,12,174,0.0532439617493878,0.0102327228463527,0.0591289967862535,5.77842258351882,0.56,0.568627450980392,FALSE,6.07415536989691,1.1115350250959
0,0,1.2,13,182,0.00339252439653137,0.00191947475847443,0.0157500338366703,8.20538731605317,0.66,0.666666666666667,FALSE,18.5046417177269,2.04803683537007
0,0,1.2,14,168,4.04398901734356,0.107284629830989,0.354006558527727,3.29969501768717,0.02,0.0392156862745098,TRUE,7.18749712066358,0.579501520665376
0,0,1.2,15,152,0.661068154988811,0.076286261217722,0.0623303360003322,0.817058471674744,0.34,0.352941176470588,FALSE,6.65634313878041,0.756812313905251
0,0,1.2,16,164,0,4.03248983946434e-08,2.62301944757984e-05,650.471433780048,1,1,FALSE,7.44628946616689,0.918930545840126
0,0,1.2,17,175,3.8309177321899,0.117204089860505,0.377991236616985,3.22506865645104,0.1,0.117647058823529,FALSE,4.21682534576604,0.9935927408078
0,0,1.2,18,179,0.0396686122884944,0.00394962676449254,0.0671797563268365,17.0091404410128,0.56,0.568627450980392,FALSE,7.99528441803733,1.09775943871139
0,0,1.2,19,198,0.687111883140403,0.0853764529849174,0.0427943735143272,0.501243282171575,0.4,0.411764705882353,FALSE,8.88310361150121,1.11185328565705
0,0,1.2,20,135,4.35049345150998,0.0864028822393646,0.616242937499268,7.13220348126896,0.06,0.0784313725490196,FALSE,6.81114966275788,0.892976466351854
0,0,1.2,21,187,5.69277756470552,0.0490119981524086,1.52364596410675,31.087203573476,0.02,0.0392156862745098,TRUE,12.6589112228938,1.0885738000611
0,0,1.2,22,158,3.18598269473114e-05,8.10515731657302e-07,1.85746862756185e-05,22.9171199893158,0.44,0.450980392156863,FALSE,6.18546070014435,0.679057003521663
0,0,1.2,23,135,7.54881834836851e-05,1.89879824576217e-06,0.000168733548042152,88.8633368072357,0.6,0.607843137254902,FALSE,15.9407610292277,0.98074422357002
0,0,1.2,24,166,0,3.61045119925094e-09,8.48086785836256e-06,2348.97728575367,1,1,FALSE,8.9690827429651,0.797878288956814
0,0,1.2,25,145,0.759220999988202,0.0595653861502352,0.10188420383961,1.7104598899542,0.36,0.372549019607843,FALSE,6.48842694365817,0.924799857743395
0,0,1.2,26,205,0.0835602531981294,0.00364110022002217,0.327537800145448,89.9557222688733,0.46,0.470588235294118,FALSE,15.396277491465,0.748492981936489
0,0,1.2,27,151,0,1.13505411642794e-07,2.60550158668412e-08,0.229548666356432,1,1,FALSE,5.81362519710876,0.533724068828382
0,0,1.2,28,182,0,7.89195901211161e-07,2.86626442786309e-06,3.63187951618135,1,1,FALSE,7.13529718525024,0.770134339389892
0,0,1.2,29,160,1.17526351218004,0.0915908048155666,0.0304839846426185,0.332828002811014,0.18,0.196078431372549,FALSE,7.66868905322423,0.917276190111944
0,0,1.2,30,179,2.15119980470604,0.135813756883156,0.0965966678462589,0.711243618195197,0.24,0.254901960784314,FALSE,12.7915613283381,1.53521911483471
0.05,0.06,1.2,1,111,0.0757418540351864,0.0229170519245682,0.0226968911339683,0.990393145186189,0.5,0.509803921568627,FALSE,13.0248693815275,1.36192291199325
0.05,0.06,1.2,2,205,1.06721381701135,0.1070369847609,0.0442209137868697,0.413136766563918,0.26,0.274509803921569,FALSE,9.23351958811975,1.14877036275409
0.05,0.06,1.2,3,183,0,1.76248323731945e-06,1.87680973666691e-07,0.106486671585106,1,1,FALSE,4.87727146623672,0.735323703265703
0.05,0.06,1.2,4,211,0.737458408571456,0.0630126586237477,0.0796385106626925,1.26384939791572,0.34,0.352941176470588,FALSE,7.73365581009338,1.46548139284465
0.05,0.06,1.2,5,128,0,9.38995105453875e-09,1.47381768048923e-05,1569.56907648292,1,1,FALSE,6.63962002898177,1.0425722755979
0.05,0.06,1.2,6,138,3.28095151717901,0.202374406087518,0.0740806929116837,0.366057617382936,0.1,0.117647058823529,FALSE,5.10578838334374,0.881392683336551
0.05,0.06,1.2,7,158,7.11180598343071,0.35864088594824,0.0438602305838443,0.122295678775939,0,0.0196078431372549,TRUE,5.07225321535185,0.860375257954402
0.05,0.06,1.2,8,162,4.79363285175106,0.216598023902079,0.1118378711024,0.516338372288016,0.04,0.0588235294117647,FALSE,6.05914960011955,0.885805286511699
0.05,0.06,1.2,9,189,0,1.68967308721134e-07,1.66581309887563e-06,9.85878932134089,1,1,FALSE,4.65355864010206,0.903489050819986
0.05,0.06,1.2,10,167,0,1.98437979744755e-08,3.73400358216441e-07,18.8169804337221,1,1,FALSE,4.46478140123861,0.79692090580639
0.05,0.06,1.2,11,161,1.73232709994471,0.061756518749788,0.428968785953535,6.94612964975471,0.14,0.156862745098039,FALSE,7.83966265877007,0.863919066701
0.05,0.06,1.2,12,166,0,2.10444245518477e-07,1.37054953044266e-06,6.51264912027412,1,1,FALSE,10.7942981666364,1.02338100611721
0.05,0.06,1.2,13,208,3.34519642384146,0.21150798796991,0.0728864220170042,0.344603637510718,0.06,0.0784313725490196,FALSE,4.28623533680815,0.860545967521283
0.05,0.06,1.2,14,188,0,3.29245325135246e-09,2.0780139993736e-06,631.144572370164,1,1,FALSE,8.14757447039784,0.792470337462243
0.05,0.06,1.2,15,181,0.286759540671824,0.0255631195261516,0.148085584469308,5.79293870287674,0.38,0.392156862745098,FALSE,9.16959912329548,0.782788002437969
0.05,0.06,1.2,16,196,0,9.93708397628557e-10,6.08117532819002e-07,611.967790822991,1,1,FALSE,5.72476266978356,0.873183159726434
0.05,0.06,1.2,17,231,0.183277708931087,0.0334160737555434,0.0402292617076012,1.20388954135964,0.44,0.450980392156863,FALSE,8.2878301012619,0.955936988337615
0.05,0.06,1.2,18,187,0,4.60651879182529e-08,9.37252342285864e-07,20.3462177110643,1,1,FALSE,6.08469832471854,0.796405094736672
0.05,0.06,1.2,19,225,2.53955627670689,0.0101681649502187,4.72777654810925,464.958679491877,0.16,0.176470588235294,FALSE,6.26249485147827,0.887575324471405
0.05,0.06,1.2,20,155,0,8.02949999385543e-09,2.14790587132975e-05,2675.01821156166,1,1,FALSE,7.0631251681138,1.37784698653308
0.05,0.06,1.2,21,243,0.000210619444999338,7.16088052093329e-07,0.000340208056382028,475.092490912958,0.66,0.666666666666667,FALSE,13.9042191155572,0.945770726953065
0.05,0.06,1.2,22,139,2.82998423165787,0.125451407298471,0.250905093934618,2.00001816908813,0.14,0.156862745098039,FALSE,7.34422053681993,1.22078854815985
0.05,0.06,1.2,23,179,7.81770003730946,0.194874956325287,0.348213617789553,1.78685668161645,0.02,0.0392156862745098,TRUE,10.4346219495499,1.19750197968916
0.05,0.06,1.2,24,184,0,9.803742833153e-09,4.42455435141247e-07,45.1312771735515,1,1,FALSE,5.73937116827753,0.929337718442094
0.05,0.06,1.2,25,151,2.11200525601851,0.139419804298167,0.066357473354167,0.475954429058391,0.2,0.215686274509804,FALSE,7.70826149973777,1.02958779337129
0.05,0.06,1.2,26,175,4.35344947491956,0.198895026581831,0.0897812887950352,0.451400371029874,0.04,0.0588235294117647,FALSE,10.7265800357559,0.645439705226384
0.05,0.06,1.2,27,173,4.06302259637198,0.134565868538374,0.323787368637597,2.40616266334477,0.08,0.0980392156862745,FALSE,7.08921574292083,0.860147781997514
0.05,0.06,1.2,28,179,8.04839803012561,0.194642912496495,0.274011496169066,1.40776508455709,0,0.0196078431372549,TRUE,5.9351309345281,1.04201566056543
0.05,0.06,1.2,29,145,0.567290688930029,0.057991506540496,0.0850873730650697,1.46723853441628,0.26,0.274509803921569,FALSE,9.07248656872719,1.12409092991394
0.05,0.06,1.2,30,162,0.0111728478690907,0.00593147989065336,0.023569412412182,3.97361414801759,0.56,0.568627450980392,FALSE,8.61893090149539,0.904613580038785
0.1,0.12,1.2,1,197,2.22011347947725,0.0994125128295693,0.153741201844473,1.546497492806,0.1,0.117647058823529,FALSE,5.62672873770285,0.780903384665547
0.1,0.12,1.2,2,208,1.41311256971176,0.0719297414218818,0.134785849987034,1.87385422667502,0.28,0.294117647058824,FALSE,9.28046547373111,1.22524284325552
0.1,0.12,1.2,3,171,0,1.20067553114517e-08,3.36863989798047e-06,280.562051161946,1,1,FALSE,6.02403321590356,0.815507750023426
0.1,0.12,1.2,4,155,0,2.5640761297537e-07,2.59887712495379e-06,10.135725280526,1,1,FALSE,7.89067770472309,0.607685288604525
0.1,0.12,1.2,5,205,1.89845423764203,0.095170313981798,0.093330708386364,0.980670384298765,0.2,0.215686274509804,FALSE,10.0774314533836,1.1003163254815
0.1,0.12,1.2,6,168,1.96844736846555,0.118196017193973,0.0959660158638392,0.811922585397681,0.16,0.176470588235294,FALSE,9.12709356584128,0.815015705815372
0.1,0.12,1.2,7,181,8.59342124763796,0.048094481480342,5.85482330915514,121.735865091886,0,0.0196078431372549,TRUE,8.24051056836262,0.931284969808442
0.1,0.12,1.2,8,209,0.00634487472203205,0.000637891005503266,0.0117599023187078,18.4355982718862,0.62,0.627450980392157,FALSE,5.62304966310003,0.916044571095602
0.1,0.12,1.2,9,186,0.246740866473147,0.0500582178701601,0.0343564945028214,0.686330755759914,0.38,0.392156862745098,FALSE,6.01042393335558,0.738047825091335
0.1,0.12,1.2,10,196,4.99344137024138,0.209323528628319,0.149240901447414,0.712967636392234,0.08,0.0980392156862745,FALSE,6.90668647848031,1.18876737608954
0.1,0.12,1.2,11,201,1.02161563672564,0.097741969389226,0.0557598955899923,0.570480582071622,0.18,0.196078431372549,FALSE,5.3021642278398,0.653446593292574
0.1,0.12,1.2,12,203,9.64655778973986,0.396730714592131,0.00970335250583509,0.024458284042391,0,0.0196078431372549,TRUE,6.45076665629142,1.02023328545661
0.1,0.12,1.2,13,212,0,2.39957769887497e-09,1.24887446501842e-05,5204.55939227953,1,1,FALSE,5.89004476253928,1.04732166675563
0.1,0.12,1.2,14,178,2.68569669321835,0.168027405008498,0.0613135165685052,0.364901883507659,0.14,0.156862745098039,FALSE,7.08131391779733,1.07928115993813
0.1,0.12,1.2,15,187,2.51386726570342,0.109581158866635,0.206935916123021,1.88842606031271,0.16,0.176470588235294,FALSE,6.69460933963705,0.894237018062367
0.1,0.12,1.2,16,205,0.959294562607511,0.045124575394815,0.191695056628528,4.24812987050411,0.46,0.470588235294118,FALSE,5.55700656883275,1.28040814053445
0.1,0.12,1.2,17,211,1.71037604251862,0.0757000953250984,0.245951120069905,3.24901995187263,0.14,0.156862745098039,FALSE,10.9183169934675,0.813507103805246
0.1,0.12,1.2,18,153,2.83472678298443,0.111778588046904,0.155229876399396,1.38872640200339,0.16,0.176470588235294,FALSE,10.8508962370759,1.23457362424583
0.1,0.12,1.2,19,179,0.395708725453346,0.0294995552299767,0.160932195146253,5.45541089998259,0.3,0.313725490196078,FALSE,3.94939373673418,0.480886973724004
0.1,0.12,1.2,20,232,1.05860628633712,0.0764779385168085,0.128871051599355,1.68507486078526,0.34,0.352941176470588,FALSE,7.52522336186496,1.18801741686439
0.1,0.12,1.2,21,209,1.34625759673156,0.0587318984242473,0.228424464982818,3.88927433151921,0.18,0.196078431372549,FALSE,4.5392012382635,0.545582982167838
0.1,0.12,1.2,22,206,2.58555036383291,0.109180085464337,0.139773389452139,1.28020956255613,0.04,0.0588235294117647,FALSE,6.70542254567857,0.583955685286431
0.1,0.12,1.2,23,163,6.02559947441767,0.0239414469708361,8.0284392938757,335.336427395362,0.02,0.0392156862745098,TRUE,7.98690043218608,0.8895769655149
0.1,0.12,1.2,24,147,0,2.45762479987343e-09,7.95353427035092e-06,3236.26872204437,1,1,FALSE,6.34095796267258,0.767010471564527
0.1,0.12,1.2,25,157,1.25642290846054,0.070921327567478,0.168362553671229,2.37393403995491,0.14,0.156862745098039,FALSE,13.3845987906494,0.901921915291558
0.1,0.12,1.2,26,136,3.53660248892527,0.125215655004695,0.159736547471931,1.27569150571421,0.06,0.0784313725490196,FALSE,7.37023114171478,1.11003925565952
0.1,0.12,1.2,27,212,11.898709327641,0.271166992552415,0.256427123267053,0.945642833788066,0,0.0196078431372549,TRUE,9.35742553045088,1.23032519647814
0.1,0.12,1.2,28,210,5.21701263767591,0.163638563424542,0.218974290596485,1.33815823125006,0.08,0.0980392156862745,FALSE,8.54754162727227,0.962787106219383
0.1,0.12,1.2,29,173,2.87957658259012,0.0829050292690603,0.308050506499664,3.71570348886695,0.06,0.0784313725490196,FALSE,5.88815652491138,0.721989773005466
0.1,0.12,1.2,30,174,3.23304069462694,0.153226178613497,0.123127993514429,0.803570216451143,0.06,0.0784313725490196,FALSE,4.8733217636464,0.800470278346413
0.2,0.24,1.2,1,237,14.0719569136606,0.320103824671467,0.221438062704594,0.691769499886055,0,0.0196078431372549,TRUE,9.83948791315771,0.996682633392303
0.2,0.24,1.2,2,206,8.61321630451494,0.197152487058413,0.378334668911859,1.91899516235758,0,0.0196078431372549,TRUE,8.16621337860312,1.34125316467823
0.2,0.24,1.2,3,201,7.29640491879383,0.208776656512416,0.196035081615181,0.938970308701744,0,0.0196078431372549,TRUE,7.16076788236057,1.00583317147289
0.2,0.24,1.2,4,172,18.7318252088619,0.420362810807873,0.138235980625494,0.328849215656888,0,0.0196078431372549,TRUE,4.92746051974291,0.722724881295081
0.2,0.24,1.2,5,216,26.9205258587164,0.379757706406172,0.361006533250429,0.950623324189534,0,0.0196078431372549,TRUE,4.25541498192177,0.65396992847093
0.2,0.24,1.2,6,243,6.92185965690794,0.210169557241155,0.143993114804412,0.685128315892056,0,0.0196078431372549,TRUE,4.7528091277199,1.1514807117377
0.2,0.24,1.2,7,263,14.2544384745079,0.254060568967467,0.313025705994119,1.23209086426238,0,0.0196078431372549,TRUE,6.28205419933019,0.835958527430966
0.2,0.24,1.2,8,226,7.46545396480721,0.0996346203347611,0.73903929114574,7.41749492960028,0,0.0196078431372549,TRUE,7.2467078091708,0.804739240087152
0.2,0.24,1.2,9,216,2.73580251619489,0.16345284841103,0.0706853372469523,0.432450935753668,0.14,0.156862745098039,FALSE,7.9148184498174,1.08917802897366
0.2,0.24,1.2,10,156,14.4016181813137,0.265800548820085,0.414198259802032,1.55830475761129,0,0.0196078431372549,TRUE,4.03106927739304,0.608455019416466
0.2,0.24,1.2,11,187,7.65023493058038,0.243897756033503,0.10783241540921,0.442121392024605,0,0.0196078431372549,TRUE,3.97254892605628,0.667750568766526
0.2,0.24,1.2,12,201,4.52961227331349,0.159312868552441,0.16347379201743,1.02611793700532,0.12,0.137254901960784,FALSE,7.39548260098064,1.15705571496851
0.2,0.24,1.2,13,196,4.83601046793359,0.218541075361017,0.0474925681823653,0.217316438586707,0,0.0196078431372549,TRUE,4.00915209936522,0.653175278354343
0.2,0.24,1.2,14,193,25.6619945314718,0.398213483154686,0.299833277998183,0.752946072099002,0,0.0196078431372549,TRUE,11.4151565640702,1.13728679129582
0.2,0.24,1.2,15,179,1.0861447540758,0.0559950088250524,0.204726510945467,3.65615641896054,0.28,0.294117647058824,FALSE,6.826275646711,0.738629846039629
